JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,Industry,JobUrl
Optometric Assistant/Dispenser,Saanich Optometry,"Victoria, BC",EmployerActive 15 days ago,2022-08-06,"We are looking for a full time Optometric Assistant or Optician for an Optometry practice in beautiful Victoria, BC.
Job Types: Full-time, Permanent.",$19–$26 an hour,Healthcare,ca.indeed.com/company/Saanich-Optometry/jobs/Optometric-Assistant-Dispenser-f74e59b4d295e33f?fccid=aee5a22a5294a2c2&vjs=3
"Manager, Contracts and Performance",Island Health,"Victoria, BC",Posted9 days ago,2022-08-06,"The Manager, Contracts and Performance provides leadership in the delivery of the program with a focus on coordination and integration of contracted program…",$47.55–$68.35 an hour,Healthcare,ca.indeed.com/rc/clk?jk=77515359b7d8045a&fccid=139e079044c36dab&vjs=3
Hospice Counsellor - Masters,Island Health,"Victoria, BC",Posted7 days ago,2022-08-06,"Provides leadership and initiative on psychosocial care through research, education, resource and program development, mentorship, education and advocacy.",$35.65–$44.56 an hour,Healthcare,ca.indeed.com/rc/clk?jk=e5facbf8a858e453&fccid=139e079044c36dab&vjs=3
"Peer Support Worker, Community Transition Team, Forensic Psychiatric Regional Clinic, BC Mental Health and Substance Use Services – Victoria, BC",PHSA,"Victoria, BC",PostedPosted 15 days ago,2022-08-06,"Provide non-clinical, one-on-one, peer-based support and guidance to clients before, during, and after they are released to the community, with the aim of…",$25.83 an hour,Healthcare,ca.indeed.com/rc/clk?jk=c731965171374835&fccid=f66f721a44de3765&vjs=3
Help Desk Clerk,Island Health,"Victoria, BC",PostedPosted 30+ days ago,2022-08-06,"Performs an essential role dispatching, tracking, monitoring and escalating requests including, but not limited to, those for beds, spills, etc, by answering,…",$23.81 an hour,Healthcare,ca.indeed.com/rc/clk?jk=42698d7fef98bc9e&fccid=139e079044c36dab&vjs=3
Administrative Assistant,Lifemark Health Group,"Victoria, BC",PostedPosted 30+ days ago,2022-08-06,"Answer telephone calls, greet patients and visitors upon arrival, and provide excellent customer service for all questions or concerns.",,Healthcare,ca.indeed.com/rc/clk?jk=93eb8f6d3b8343c7&fccid=1fd659f57039ea93&vjs=3
Housekeeper,Atria Retirement Canada,"Victoria, BC",PostedPosted 3 days ago,2022-08-06,"Washes windows at reasonable heights through out the community as requested.
Washing, drying and ironing resident laundry and community linens and textiles in…",Part-time,Healthcare,ca.indeed.com/rc/clk?jk=a0aaf225ea12cf4d&fccid=4bbb888c31718643&vjs=3
Activity Assistant,Island Health,"Victoria, BC",PostedPosted 30+ days ago,2022-08-06,"Valid BC Class IV driver's license (unrestricted).
Under the general supervision of a senior position and in cooperation with the interdisciplinary team, the…",$25.83 an hour,Healthcare,ca.indeed.com/rc/clk?jk=4c32be21f566c676&fccid=139e079044c36dab&vjs=3
"Switchboard Operator and Program Clerk, CYFMH",Island Health,"Victoria, BC",PostedPosted 30+ days ago,2022-08-06,"Reporting to the Program Coordinator, performs reception duties and a variety of clerical and program support duties for the Child, Youth and Family Mental…",$23.81 an hour,Healthcare,ca.indeed.com/rc/clk?jk=56ffc250dc51e77f&fccid=139e079044c36dab&vjs=3
Timekeeper Administrator,EllisDon Corporation,"Victoria, BC",PostedPosted 11 days ago,2022-08-06,"Proficiency in the use of Microsoft Office applications and project management software; as well as attention to detail when entering data, typing, filing and…",Full-time,Healthcare,ca.indeed.com/rc/clk?jk=448e3492a15ddaee&fccid=5fec8a638fc3e20a&vjs=3
Community Business Manager - The Victorian at McKenzie,Atria Senior Living,"Victoria, BC",PostedPosted 30+ days ago,2022-08-06,"Must possess valid driver’s license.
Manage the community’s accounting finances, utilizing independent judgment and discretion to analyze and verify submitted…",Full-time,Healthcare,ca.indeed.com/rc/clk?jk=477cb55fd94837f6&fccid=4bbb888c31718643&vjs=3
"Specialist, Information Technology Solutions",Island Health,"Victoria, BC",PostedPosted 30+ days ago,2022-08-06,"Reporting to one of the following Director, Technology Management; Director, Device Services; Manager, Enterprise Technical Services; Manager, Data Centre and…",$39.91–$57.37 an hour,Healthcare,ca.indeed.com/rc/clk?jk=9f249c59b69a3cf2&fccid=139e079044c36dab&vjs=3
Clinical & Medical Health Office Assistant,Island Health,"Victoria, BC",PostedPosted 30+ days ago,2022-08-06,"As a member of the Primary Health Care team and as directed by a medical or clinical professional, the Health Centre Assistant performs a variety of clinical…",$23.27–$25.45 an hour,Healthcare,ca.indeed.com/rc/clk?jk=b14efcf678f2a7ff&fccid=139e079044c36dab&vjs=3
Central Processing Assistant,Island Health,"Victoria, BC+1 location",PostedPosted 3 days ago,2022-08-06,"In accordance with the Vision, Purpose, and Values, and strategic direction of the Vancouver Island Health Authority (Island Health), patient & staff safety is…",$24.99 an hour,Healthcare,ca.indeed.com/rc/clk?jk=4b5d07a9f8cfbb02&fccid=139e079044c36dab&vjs=3
Therapy Assistant,Baptist Housing,"Victoria, BC",PostedPosted 17 days ago,2022-08-06,A Therapist or Rehabilitation Assistant Diploma and a minimum of 1 year experience in rehabilitation or recreation therapy is preferred.,Full-time,Healthcare,ca.indeed.com/rc/clk?jk=8fa2531eb558c63f&fccid=9f2e924b94e0725b&vjs=3
Assistant General Manager - The Victorian at McKenzie,Atria Senior Living,"Victoria, BC",PostedPosted 18 days ago,2022-08-06,"Must possess valid driver’s license.
Position requires driving responsibilities (may use Company provided vehicle and/or personal vehicle).",Full-time,Healthcare,ca.indeed.com/rc/clk?jk=18038a884a86f1cf&fccid=4bbb888c31718643&vjs=3
MI-Generalist Sonographer,Island Health,"Victoria, BC",PostedPosted 30+ days ago,2022-08-06,Sonography Canada and/or American Registry of Diagnostic Medical Sonographers (ARDMS) certification credentials as a Generalist Sonographer and one (1) year…,$33.29–$41.61 an hour,Healthcare,ca.indeed.com/rc/clk?jk=695b6581949f3c3b&fccid=139e079044c36dab&vjs=3
"Clerk, Colon Screening Program",Island Health,"Victoria, BC",PostedPosted 30+ days ago,2022-08-06,"Under supervision of the Endoscopy Patient Coordinator, Registered Nurses and Program Manager, provides data entry and clerical functions related to patient…",$23.40 an hour,Healthcare,ca.indeed.com/rc/clk?jk=ce69fe48a0ef53b1&fccid=139e079044c36dab&vjs=3
Mental Health Care Aide,Island Health,"Victoria, BC",Posted24 days ago,2022-08-06,"Graduation from a recognized Nursing Assistant program such as a Health Care aide program and a diploma in Community Social Services, e.g. Mental Health Worker,…",$26.42–$28.63 an hour,Healthcare,ca.indeed.com/rc/clk?jk=b8aaf9735943a6c2&fccid=139e079044c36dab&vjs=3
Associate Veterinarian,Dand Veterinary clinics,"Victoria, BC",Posted8 days ago,2022-08-06,"Team pet discounts with cost on inventory and treatments/services.
Paid licensing and dues, paid liability insurance.
Generous CE allowance with 4 paid days.","$110,000–$130,000 a year",Healthcare,ca.indeed.com/company/Airdrie-Animal-Clinic/jobs/Associate-Veterinarian-7bb3e79a3d7775b2?fccid=8bb11c95b57c0b55&vjs=3
Health Care Aide,Bayshore HealthCare,"Victoria, BC+1 location",Posted10 days ago,2022-08-06,"Have either a reliable mode of transportation (Bus, Train, etc) OR a valid driver’s license and reliable vehicle for commuting.",,Healthcare,ca.indeed.com/rc/clk?jk=0815c51304ddbc3b&fccid=35be63b10340b18e&vjs=3
Social Worker,Selkirk Seniors Village,"Victoria, BC",Posted18 days ago,2022-08-06,"Acts as liaison with community agencies and professionals regarding resident’s needs, and interprets the facilities function to the community.",Full-time,Healthcare,ca.indeed.com/rc/clk?jk=04b8479c5d72dce3&fccid=bfd33c1c9e058c81&vjs=3
Locum Part Time Receptionist / MOA,Broadmead Physio,"Victoria, BC",Posted4 days ago,2022-08-06,"Receive payments and prepare billings in the computerized system for processing.
This position will be temporary to cover a maternity leave until September 2023…",From $18 an hour,Healthcare,ca.indeed.com/company/Broadmead-Physiotherapy-Clinic/jobs/Locum-Receptionist-5da56b4527e01052?fccid=891a2aaf514c3da9&vjs=3
Client Support Analyst,PHSA,"Saanichton, BC",Posted23 days ago,2022-08-06,"Support may include answering questions, troubleshooting problems, teaching or instructing customers regarding software or hardware functionality, and…",$33.91 an hour,Healthcare,ca.indeed.com/rc/clk?jk=0b637d01b0ab3ea4&fccid=f66f721a44de3765&vjs=3
Aboriginal Support Worker,Island Health,"Victoria, BC",Posted30+ days ago,2022-08-06,"Valid Class 5 vehicle license.
Extensive understanding and knowledge of Aboriginal health issues, protocols and health needs, including the physical, mental,…",$26.42–$28.63 an hour,Healthcare,ca.indeed.com/rc/clk?jk=51c4cd47a4a95ba8&fccid=139e079044c36dab&vjs=3
Server,Selkirk Seniors Village,"Victoria, BC",Posted8 days ago,2022-08-06,"Attends and participates in community and education programs.
The Server reports to the Support Services Manager and/or designate and performs all aspects of…",$20.97 an hour,Healthcare,ca.indeed.com/rc/clk?jk=e779b4b2c3f0df04&fccid=bfd33c1c9e058c81&vjs=3
"Nursing Unit Assistant, Long-Term Care",Island Health,"Victoria, BC+1 location",Posted24 days ago,2022-08-06,"This includes duties such as acting as a communication link for the Unit by transcribing and processing physicians' orders, communicating with other departments…",$24.46 an hour,Healthcare,ca.indeed.com/rc/clk?jk=a6a0ce22477cbe73&fccid=139e079044c36dab&vjs=3
Personal Trainer - Victoria Bay Centre,GoodLife Fitness,"Victoria, BC",PostedToday,2022-08-06,Must be willing to accrue a nationally recognized Personal Training certification within first 75 days of employment.,Full-time,Healthcare,ca.indeed.com/rc/clk?jk=1a3377e3d902286c&fccid=10169626fd8759fa&vjs=3
Human Resources (HR) Partner,Island Health,"Victoria, BC",Posted30+ days ago,2022-08-06,"Reporting to the Manager, Human Resources, the HR Partner provides HR advice and coaching to Leaders in their client group in order to develop and implement…",$39.91–$57.37 an hour,Healthcare,ca.indeed.com/rc/clk?jk=b826449431e59249&fccid=139e079044c36dab&vjs=3
MHSU Access & Crisis Response Counsellor,Island Health,"Victoria, BC",Posted30+ days ago,2022-08-06,Recognized post-basic education related to mental illness and/or alcohol and drug addiction; two (2) two years' recent related experience in areas requiring…,$31.99–$39.98 an hour,Healthcare,ca.indeed.com/rc/clk?jk=ea5f32b46ef91234&fccid=139e079044c36dab&vjs=3
Site Admin/Receptionist,EllisDon Corporation,"Victoria, BC",Posted15 days ago,2022-08-06,"Answer and direct incoming calls in a prompt, professional and courteous manner.
Manage incoming and outgoing mail, resource room schedules, various…",Full-time,Healthcare,ca.indeed.com/rc/clk?jk=abf2213085bb32e9&fccid=5fec8a638fc3e20a&vjs=3
Administrative Assistant – Casual – On Call,CBI Health,"View Royal, BC",Posted18 days ago,2022-08-06,All team members are required to be fully vaccinated against COVID-19 and provide proof of vaccination upon hire or provide a valid medical exemption.,Part-time,Healthcare,ca.indeed.com/rc/clk?jk=09855b5f9396ef20&fccid=bcd3b3ffdbf2bcbf&vjs=3
"Patient Navigator, Colon Screening Clinic",Island Health,"Victoria, BC",Posted30+ days ago,2022-08-06,"Graduation from a recognized nursing program and three years recent related clinical experience in an endoscopy and/or digestive health care setting, inclusive…",$43.09–$52.82 an hour,Healthcare,ca.indeed.com/rc/clk?jk=3e14270103d3a0dc&fccid=139e079044c36dab&vjs=3
Mental Health & Substance Use Health Consultant,Island Health,"Victoria, BC+1 location",PostedPosted 25 days ago,2022-08-06,"This position consults extensively with primary care providers, and refers to community resources when necessary regarding the psychosocial and social…",$35.65–$44.56 an hour,Healthcare,ca.indeed.com/rc/clk?jk=3b8c47ac3eef12ee&fccid=139e079044c36dab&vjs=3
Assistant Project Manager,EllisDon Construction Services Inc,"Victoria, BC",PostedPosted 30+ days ago,2022-08-06,"Provide technical engineering information to employees and subcontractors to ensure project complies with all engineering standards, codes, specifications and…",Full-time,Healthcare,ca.indeed.com/rc/clk?jk=59573df4d87c120d&fccid=5fec8a638fc3e20a&vjs=3
Live-in Caregiver,SIDNEY SENIORCARE,"Victoria, BC",EmployerActive 22 days ago,2022-08-06,"Registration/certificate as Health Care Assistant or Community Health Care Worker.
We are currently looking for registered contract workers for live ins in…",$20–$22 an hour,Healthcare,ca.indeed.com/company/SIDNEY-SENIORCARE/jobs/Live-Caregiver-2d2a56a8d68106d8?fccid=ea4f9f61030c07f9&vjs=3
Cerner Technical Integration Coordinator,Island Health,"Victoria, BC",PostedPosted 13 days ago,2022-08-06,"Graduation from a recognized degree or diploma program in Computer Science, three years' recent related experience, or an equivalent combination of education,…",$40.46 an hour,Healthcare,ca.indeed.com/rc/clk?jk=fbc4d5308bed65d7&fccid=139e079044c36dab&vjs=3
Business and Financial Analyst,PHSA,"Saanichton, BC",PostedPosted 30+ days ago,2022-08-06,"Note: Travel across the province is required, along with a valid driver’s license.
A level of education, training and experience equivalent to a Bachelor’s…",Full-time,Healthcare,ca.indeed.com/rc/clk?jk=202d5cf7d4c628f1&fccid=f66f721a44de3765&vjs=3
"Program Coordinator, Primary Care",Island Health,"Victoria, BC",PostedPosted 23 days ago,2022-08-06,"A level of education, training and experience equivalent to a Bachelor's degree in Business/Public Health Administration, Social or Health Sciences or other…",$30.43–$43.75 an hour,Healthcare,ca.indeed.com/rc/clk?jk=a3202a33b4061a83&fccid=139e079044c36dab&vjs=3
Manager of Regional Operations,MHMI,"Victoria, BC",PostedPosted 25 days ago,2022-08-06,"Collaborates with hospital leadership to develop business strategy and aids in its implementation.
Makes recommendations for staff training and development.",,Healthcare,ca.indeed.com/rc/clk?jk=987b4cb22d2adaa2&fccid=5508f145c0bbb04c&vjs=3
Family Practice -,Island Health,"Victoria, BC+7 locations",PostedPosted 19 days ago,2022-08-06,"2 rooms, MOA (1PT, 1FT).
Fee for service, around 700 charts, mostly elderly patients.
From Clinic Wednesday and Thursday.
Average daily patient volume | 25-30.",From $150 an hour,Healthcare,ca.indeed.com/rc/clk?jk=33139db45ac30206&fccid=139e079044c36dab&vjs=3
"Medical Lead, Gastroenterology RJH/VGH",Island Health,"Victoria, BC",PostedPosted 30+ days ago,2022-08-06,"Planning: Assesses, monitors and anticipates team resource needs and works with medical leaders and administrative leaders to prioritize these needs within…",Part-time,Healthcare,ca.indeed.com/rc/clk?jk=b8b9ff6de51333bc&fccid=139e079044c36dab&vjs=3
personal support worker - home support,Andrew Flotre,"Victoria, BC",PostedPosted 30+ days ago,2022-08-06,"Prepare and serve nutritious meals.
Assume full responsibility for household (in absence of householder).
Launder clothing and household linens.",$20 an hour,Healthcare,ca.indeed.com/rc/clk?jk=15d8ff166fcdca64&fccid=326b58ed44615d49&vjs=3
Unit Aide & Porter - Nursing,Island Health,"Victoria, BC",PostedPosted 7 days ago,2022-08-06,"In accordance with the Vision, Purpose, and Values, and strategic direction of the Vancouver Island Health Authority (Island Health) patient and staff safety is…",$25.83 an hour,Healthcare,ca.indeed.com/rc/clk?jk=bd4074c4f0748f55&fccid=139e079044c36dab&vjs=3
"Specialist, Clinical Informatics",Island Health,"Victoria, BC",PostedPosted 30+ days ago,2022-08-06,"A level of education, training and experience equivalent to a Bachelor's degree in a related health discipline such as Nursing, Health Information Science, or…",$39.91–$57.37 an hour,Healthcare,ca.indeed.com/rc/clk?jk=d5af6655bef5f1dc&fccid=139e079044c36dab&vjs=3
Housekeeper,The Wellesley of Victoria,"Victoria, BC",PostedPosted 9 days ago,2022-08-06,The Housekeeper reports to the Support Services Manager and/or designate and performs all aspects of cleaning duties in the community to maintain the…,$19.29 an hour,Healthcare,ca.indeed.com/rc/clk?jk=18f2343ba7b8a6b9&fccid=bfd33c1c9e058c81&vjs=3
Unit Aide - Emergency,Island Health,"Saanichton, BC",PostedToday,2022-08-06,"Under direction from a Registered Nurse conducts personal care and minor nursing procedures to meet the comfort, hygiene, and therapeutic needs of the patient…",$25.83 an hour,Healthcare,ca.indeed.com/rc/clk?jk=ee35151e506c274c&fccid=139e079044c36dab&vjs=3
"Specialist, Business Intelligence Data Warehouse",Island Health,"Victoria, BC",PostedPosted 30+ days ago,2022-08-06,"A level of education, training and experience equivalent to a Bachelor's Degree in Computer Science and at least five (5) years' recent related experience in…",$39.91–$57.37 an hour,Healthcare,ca.indeed.com/rc/clk?jk=ca28d2d0d4c7aeb2&fccid=139e079044c36dab&vjs=3
Unit Aide & Porter - Nursing,Island Health,"Victoria, BC",Posted7 days ago,2022-08-06,"In accordance with the Vision, Purpose, and Values, and strategic direction of the Vancouver Island Health Authority (Island Health) patient and staff safety is…",$25.83 an hour,Healthcare,ca.indeed.com/rc/clk?jk=bd4074c4f0748f55&fccid=139e079044c36dab&vjs=3
"Specialist, Clinical Informatics",Island Health,"Victoria, BC",Posted30+ days ago,2022-08-06,"A level of education, training and experience equivalent to a Bachelor's degree in a related health discipline such as Nursing, Health Information Science, or…",$39.91–$57.37 an hour,Healthcare,ca.indeed.com/rc/clk?jk=d5af6655bef5f1dc&fccid=139e079044c36dab&vjs=3
Housekeeper,The Wellesley of Victoria,"Victoria, BC",Posted9 days ago,2022-08-06,The Housekeeper reports to the Support Services Manager and/or designate and performs all aspects of cleaning duties in the community to maintain the…,$19.29 an hour,Healthcare,ca.indeed.com/rc/clk?jk=18f2343ba7b8a6b9&fccid=bfd33c1c9e058c81&vjs=3
Unit Aide - Emergency,Island Health,"Saanichton, BC",PostedToday,2022-08-06,"Under direction from a Registered Nurse conducts personal care and minor nursing procedures to meet the comfort, hygiene, and therapeutic needs of the patient…",$25.83 an hour,Healthcare,ca.indeed.com/rc/clk?jk=ee35151e506c274c&fccid=139e079044c36dab&vjs=3
"Specialist, Business Intelligence Data Warehouse",Island Health,"Victoria, BC",Posted30+ days ago,2022-08-06,"A level of education, training and experience equivalent to a Bachelor's Degree in Computer Science and at least five (5) years' recent related experience in…",$39.91–$57.37 an hour,Healthcare,ca.indeed.com/rc/clk?jk=ca28d2d0d4c7aeb2&fccid=139e079044c36dab&vjs=3
"Lab Technical Assistant, Microbiology Support - Casual",LifeLabs,"Victoria, BC",Posted30+ days ago,2022-08-06,"As an Lab Technical Assistant you will be responsible for the preparation, setup, and limited test processing of specimens in the laboratory, and help deliver…",,Healthcare,ca.indeed.com/rc/clk?jk=028e745fc98908c5&fccid=0530193efcb7d8ff&vjs=3
Customer Service Associate,FYidoctors,"Victoria, BC",Posted11 days ago,2022-08-06,"Manage appointment bookings, prescription printouts and billing and payments.
Administering pre-testing services such as Auto Refractions, Optomap, OCT, and NCT…",Full-time,Healthcare,ca.indeed.com/rc/clk?jk=31dcf7aecef43061&fccid=918b795addabd391&vjs=3
Pharmacy Purchasing Clerk,Island Health,"Victoria, BC",Posted25 days ago,2022-08-06,"Under the direction of the Manager and utilizing a variety of computerized and internet applications, the Pharmacy Purchasing Clerk maintains perpetual…",$23.40 an hour,Healthcare,ca.indeed.com/rc/clk?jk=cf17db2e1593da89&fccid=139e079044c36dab&vjs=3
Program Worker & Driver,Island Health,"Victoria, BC",Posted30+ days ago,2022-08-06,"Valid Class 4 unrestricted motor vehicle license to operate passenger bus seating more than 10.
Provides personal care to clients to meet their physical, social…",$25.83 an hour,Healthcare,ca.indeed.com/rc/clk?jk=1dbb66fd2c682289&fccid=139e079044c36dab&vjs=3
Administrative Support Worker,Island Health,"Saanichton, BC",Posted30+ days ago,2022-08-06,"Utilizing a variety of computerized applications, the Administrative Support Worker provides reception, cashier and a variety of clerical and administrative…",$21.18–$23.38 an hour,Healthcare,ca.indeed.com/rc/clk?jk=d14db6550e11612f&fccid=139e079044c36dab&vjs=3
Equipment Service Aide - Nursing,Island Health,"Victoria, BC",Posted30+ days ago,2022-08-06,"In accordance with the Vision, Purpose, and Values, and strategic direction of the Vancouver Island Health Authority (Island Health) patient and staff safety is…",$23.73 an hour,Healthcare,ca.indeed.com/rc/clk?jk=c69cba5d8c5fc84a&fccid=139e079044c36dab&vjs=3
"Coordinator, Research Funds Services, Deeley Research Centre - BC Cancer - Victoria, BC",PHSA,"Victoria, BC",Posted24 days ago,2022-08-06,"Monitor research expenditures, and reviews and analyzes research financial information of assigned grant funded programs for the Administrator, research…",Full-time,Healthcare,ca.indeed.com/rc/clk?jk=7692cacc99030df2&fccid=f66f721a44de3765&vjs=3
Health Care Assistant,SIDNEY SENIORCARE,"Victoria, BC",EmployerActive 19 days ago,2022-08-06,Registration/certificate as Health Care Assistant or Community Health Care Worker (BC care aid registration #- if you have one).,$20–$22 an hour,Healthcare,ca.indeed.com/company/SIDNEY-SENIORCARE/jobs/Health-Care-Assistant-12c6b0dcb99c1581?fccid=ea4f9f61030c07f9&vjs=3
Residence/Shelter Team Leader,Island Health,"Victoria, BC",Posted3 days ago,2022-08-06,"Facilitates the access and egress process for the site program and assists in the development and implementation of program services.
Valid BC Driver's License.",$27.24–$29.42 an hour,Healthcare,ca.indeed.com/rc/clk?jk=3943e8c1f80fd2a4&fccid=139e079044c36dab&vjs=3
Client Services Business Integration Analyst,Island Health,"Victoria, BC",Posted30+ days ago,2022-08-06,"Graduation from a recognized degree or diploma program in Computer Science, three years' recent, related experience or an equivalent combination of education,…",$40.46 an hour,Healthcare,ca.indeed.com/rc/clk?jk=0d94f8ec502464be&fccid=139e079044c36dab&vjs=3
Ophthalmic Technician,Island Health,"Victoria, BC",PostedPosted 30+ days ago,2022-08-06,"Under direction, conducts a variety of ophthalmic digital imaging, photography, visual field tests and procedures, provides treatment information to the…",$28.65 an hour,Healthcare,ca.indeed.com/rc/clk?jk=5c8f808eb6412e46&fccid=139e079044c36dab&vjs=3
Behavioral Consultant/Mental Health Clinician,Island Health,"Victoria, BC",PostedPosted 29 days ago,2022-08-06,"Reporting to the Manager or Coordinator CYFMH Outpatient Services, the Behavioral Consultant/Mental Health Clinician conducts comprehensive behavioral…",$35.65–$44.56 an hour,Healthcare,ca.indeed.com/rc/clk?jk=93b940fcaafb1c66&fccid=139e079044c36dab&vjs=3
MHSU Access & Crisis Response Clinician,Island Health,"Victoria, BC",PostedPosted 30+ days ago,2022-08-06,"Two (2) two years' recent related experience in areas requiring frequent crisis intervention and risk assessment, such as policing, crisis counseling, paramedic…",$35.65–$44.56 an hour,Healthcare,ca.indeed.com/rc/clk?jk=66b8ad444af45286&fccid=139e079044c36dab&vjs=3
Housekeeper/Laundry Assistant,All Care Canada,"Sidney, BC",PostedPosted 17 days ago,2022-08-06,"Ability to work as part of an interdisciplinary team and work with residents, families and peers effectively.
Completion of grade 12 or equivalent.",$21.65–$22.17 an hour,Healthcare,ca.indeed.com/rc/clk?jk=f08c97776161fa56&fccid=724bdaf82bc355c9&vjs=3
"Practice Consultant, Professional Practice",Island Health,"Victoria, BC",PostedPosted 30+ days ago,2022-08-06,"A level of education, training and experience equivalent to a Master's degree in a relevant clinical health profession, supplemented by a minimum of five (5)…",$39.91–$57.37 an hour,Healthcare,ca.indeed.com/rc/clk?jk=66bcb42d4d4981bd&fccid=139e079044c36dab&vjs=3
Driver I - Materiel Management,Island Health,"Victoria, BC",PostedPosted 30+ days ago,2022-08-06,"Valid Class 5 vehicle license.
In accordance with the Vision, Purpose, and Values, and strategic direction of the Vancouver Island Health Authority, patient…",$20.97 an hour,Healthcare,ca.indeed.com/rc/clk?jk=e131af81963bc53a&fccid=139e079044c36dab&vjs=3
Nursing Unit Assistant - Operating Room,Island Health,"Victoria, BC",PostedPosted 25 days ago,2022-08-06,"Performs a variety of reception, clerical, and office support duties such as receiving visitors, answering telephones, typing a variety of technical and non…",$24.46 an hour,Healthcare,ca.indeed.com/rc/clk?jk=4be46eae4c504c90&fccid=139e079044c36dab&vjs=3
"Specialist, Physician Engagement",Island Health,"Victoria, BC",PostedPosted 30+ days ago,2022-08-06,"A level of education, training and experience equivalent to a Bachelor's degree in a related field such as Business, Communications, Marketing, Nursing, or…",$33.46–$48.10 an hour,Healthcare,ca.indeed.com/rc/clk?jk=7e5cbd0f6218e135&fccid=139e079044c36dab&vjs=3
Cook and Cook's Helper (Permanent 31.5 hours/wk),Retirement Concepts - Selkirk Seniors Village,"Victoria, BC",PostedPosted 16 days ago,2022-08-06,"Ensures all incoming orders are correct and of good quality.
Prepares all aspects of meal and nourishments including therapeutic diets as required as well as…",$20.97–$21.25 an hour,Healthcare,ca.indeed.com/company/Retirement-Concepts/jobs/Cook-Cook-Helper-2d6b6cf9986e0ef3?fccid=bfd33c1c9e058c81&vjs=3
Evening Scheduler,Baptist Housing,"Victoria, BC",PostedPosted 30+ days ago,2022-08-06,"Reporting to the HR Director, the Scheduler performs a variety of receptionist, clerical, and communication services for the scheduling and coordination of…",Temporary +1,Healthcare,ca.indeed.com/rc/clk?jk=5d33e3eec41d65ce&fccid=9f2e924b94e0725b&vjs=3
MHSU Counsellor - Addiction Services,Island Health,"Victoria, BC",PostedPosted 30+ days ago,2022-08-06,Recognized post basic education related to mental illness and/or alcohol and drug addiction; Two (2) years recent related experience; an understanding of mental…,$31.99–$39.98 an hour,Healthcare,ca.indeed.com/rc/clk?jk=8237bb625b366020&fccid=139e079044c36dab&vjs=3
"Emergency Services, Manager",Island Health,"Victoria, BC",PostedPosted 30+ days ago,2022-08-06,"This includes providing strategic direction, operational planning, human resources development, financial management, and quality management.",$47.55–$68.35 an hour,Healthcare,ca.indeed.com/rc/clk?jk=e9e775cf43e72683&fccid=139e079044c36dab&vjs=3
"Administrative Associate - Victoria, BC",CBI Health,"Victoria, BC",PostedPosted 30+ days ago,2022-08-06,All team members are required to be fully vaccinated against COVID-19 and provide proof of vaccination upon hire or provide a valid medical exemption.,$18–$19 an hour,Healthcare,ca.indeed.com/rc/clk?jk=c75f60a60370b68d&fccid=bcd3b3ffdbf2bcbf&vjs=3
NTP Family Practitioner (2 roles) - Oak Bay Medical Clinic (,Island Health,"Victoria, BC",PostedPosted 30+ days ago,2022-08-06,"Patients range from infants to the elderly.
Two exam rooms for your family practice patients.
Experienced physicians willing to mentor a new to practice doctor.",Full-time,Healthcare,ca.indeed.com/rc/clk?jk=d2cc1c2cc054470b&fccid=139e079044c36dab&vjs=3
Active Living Aide - Part Time,Revera Inc.,"Victoria, BC",PostedPosted 22 days ago,2022-08-06,"Valid provincial driver's license to transport residents by van (i.e.: Class 4; Class F).
Maintains effective communication and good human relations with…",Part-time,Healthcare,ca.indeed.com/rc/clk?jk=b10fa85d7bb52005&fccid=61ebf5d928b2e40c&vjs=3
Cook and Cook's Helper (Permanent 31.5 hours/wk),Retirement Concepts - Selkirk Seniors Village,"Victoria, BC",Posted16 days ago,2022-08-06,"Ensures all incoming orders are correct and of good quality.
Prepares all aspects of meal and nourishments including therapeutic diets as required as well as…",$20.97–$21.25 an hour,Healthcare,ca.indeed.com/company/Retirement-Concepts/jobs/Cook-Cook-Helper-2d6b6cf9986e0ef3?fccid=bfd33c1c9e058c81&vjs=3
Evening Scheduler,Baptist Housing,"Victoria, BC",Posted30+ days ago,2022-08-06,"Reporting to the HR Director, the Scheduler performs a variety of receptionist, clerical, and communication services for the scheduling and coordination of…",Temporary +1,Healthcare,ca.indeed.com/rc/clk?jk=5d33e3eec41d65ce&fccid=9f2e924b94e0725b&vjs=3
MHSU Counsellor - Addiction Services,Island Health,"Victoria, BC",Posted30+ days ago,2022-08-06,Recognized post basic education related to mental illness and/or alcohol and drug addiction; Two (2) years recent related experience; an understanding of mental…,$31.99–$39.98 an hour,Healthcare,ca.indeed.com/rc/clk?jk=8237bb625b366020&fccid=139e079044c36dab&vjs=3
"Emergency Services, Manager",Island Health,"Victoria, BC",Posted30+ days ago,2022-08-06,"This includes providing strategic direction, operational planning, human resources development, financial management, and quality management.",$47.55–$68.35 an hour,Healthcare,ca.indeed.com/rc/clk?jk=e9e775cf43e72683&fccid=139e079044c36dab&vjs=3
"Administrative Associate - Victoria, BC",CBI Health,"Victoria, BC",Posted30+ days ago,2022-08-06,All team members are required to be fully vaccinated against COVID-19 and provide proof of vaccination upon hire or provide a valid medical exemption.,$18–$19 an hour,Healthcare,ca.indeed.com/rc/clk?jk=c75f60a60370b68d&fccid=bcd3b3ffdbf2bcbf&vjs=3
