JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,Industry,JobUrl
Service Manager,Penticton Hyundai,"Penticton, BC",Posted1 day ago,2022-08-06,"Oversee a strategy to continuously engage customers, provide outstanding customer experiences and drive referral and repeat business.","$80,000–$120,000 a year",Retail & Wholesale,ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0COHegvdSXiMv33rmJeo4cSbVpq9bln7hj_aemmu11ESoLeJMCZCWYfrDYTgenb2JEiV4WKp9zWEoxT7Y5sXwEqAruWiMRi_hAKEfhohWuH-necuzLCFIbqTiKyj-AY-QPgRMWwTBqBCYgNHh4qgI6soC3zXp21mgUmm0zu3g9e6-rA0ucjavy1Xl8jqyz3PboEn5xo9GkMJ8snlyWqWjxQIH8b9cFMkHXEEtBWj-Skh0LLUnQbvjKi4Y3MpZt4Yo-b6_jU_NvB4UFWFoak8cmV25UeFq-qjaXaqSw2gwd4lyivuDAY3aTJnMOlmfJmmBlWzrG9gImoXxMaTPJtzA8IZ4X44Btt2zmZ5DwKGAJVDw7--yooFMlHv0Oe2Jojr5CrsQTNmTWvnb6onP9aNwCREey1d3gQDQrHf3SD7wa4g4-ChtgF1Ok0JfirHFHcJ0OjLaSNQiamyhpH9wUbih0z&xkcb=SoAc-_M3b6iXt9Re3h0LbzkdCdPP&p=0&fvj=1&vjs=3
Supplement Advisor,Supplement King Vernon,"Penticton, BC",PostedToday,2022-08-06,"This part-time position is great for students or anyone looking to work in the evenings Monday to Friday and/or weekends!
Part-time hours: 8-16 per week.",From $16 an hour,Retail & Wholesale,ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BEF-TLbHWUvaDgttWQuZVbPh-tYud_4BdZtfiWx1-_54INyh4uPMvT8xyLFpQEJqlAIuAiKHrn-WDZdW0AzZZMoH9V_5teDYaoVGcXzZPB6II4DM5S_7UdrVcfqqcVVguUWoA8wN8hadZ_OwpYXxTnIr3jz-hoifliES5htcdAnHeDxygJrs1pwNZXKOrCuL4JIZFgse2FSW5HhrKayjOlOmHV3SPDk4B_8nkVJ9xdXfCg8miovNmtk-mLKJDAj2SzeOFlzoJtDcnLewZ--r7gPlMOifxoAFj0cl2eSGzGY2iLSudJwNUdQwvJ8PwMqrMkCdLOwycIndBQRP-Np9fGrDeMUORoKY54ZsASfnqf6ZBaArGgibmTHGJljUKI4Vpe81L4ur190arX78hL8THLeozMopqC8lH6mMJceQkbFFdXcO8F8lwGkQi8AEN2j2abEcek0EzsS9uPyCCFwHOv2C6pTPwxBHA=&xkcb=SoCo-_M3b6iXt9Re3h0KbzkdCdPP&p=1&fvj=1&vjs=3
Accounts Receivable & Office Administration,Skytouch Flooring,"Penticton, BC",EmployerActive 15 days ago,2022-08-06,"Primarily Accounts Receivable including but not limited to cash & carry invoicing, account holder invoicing, month-end statements, collections, posting receipts…",$20–$24 an hour,Retail & Wholesale,ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BrXWsTQrJxmYIlRTQcQOijhLxE0mcE1zHWPq6OvBp6_-beXgbDHHhjYAyt-Oq_9yrik0y9_DPmuGbLAFgDr4yQRUkdKQ_Np5UKMQlnX-tas3S-TMY7gBJLyJFD7xj7MHlWjn7jmI1P1-rcQvmChFuGi7Z4NXYX31MLGF8OBwK3a3s59IxQX01Pa4Ofdc5gm82RzuJc6HgVdcaJR23J__2Ebjr16clDvvSoMxZEvBUHjLIRclwz8tGSu6LDm5yGeyXKfVmMd1jU0EelDJ0YUGxDxtlIiFVR98nYoRAT6hDmKk4sYZl0QfgOwPKo44YdmTDPYu8VJjM13Q2ZgOxWI2t_wRocboNPGGIQSxQqdrnHAFoH6-nSI6qhQD-naGAOOL22Ep1vVlUTh0KpVGAYv2X7pbqRH53cDbk03KF1KAQvFbtI7QTd9CB7_omfiEePwFXQ01ArL_Vscj7E1fm1ucgstqN0mcHwfvIfAcr6F0UQwf5igiIoJF9W&xkcb=SoA1-_M3b6iXt9Re3h0JbzkdCdPP&p=2&fvj=1&vjs=3
Post Office Clerk,Shoppers Drug Mart / Pharmaprix,"Penticton, BC",Posted30+ days ago,2022-08-06,In compliance with the policies and procedures of Shoppers Drug Mart and Canada Post Corporation • Maintains and controls the cash register in the department in…,Full-time,Retail & Wholesale,ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C5VBEfUGqMyB9yGq6fzxQHKsgXpRdUcTZd70V7yFRQPMIgww4Gem68qmJhkGE9mfAsnH7wp_1PtIVgSrNG7bVgWsCMa3QjgDxxu75Tvzpc4PBrUVtDhThlmfjKR1ChlQ_1sF1V_H1NWi7WfLMUM0rSfJUWibfWDlxKMEQ3yRibLQ67x8pd31QxQ20PWkrjPymuDoJ7pHdJdXCz_f3L6fDgmSy9UuOxDFYK6AXbXHgwENp4nnf3z5q6X0fRlCs5QF7MXz0r1Qn3yKm8_b68Xx3TqOFblMkYc_7NLLR-hNBttdCQiC8Zh3eomNF_9JwAmW7qUMRcAGjmdGDwgJr2hLyge0-ZF3mSXOJesq4Z9S7FcOJ95I_EvruGHsGw_yKvFtGxfJ0EBYQR1JGqVJxS8GUm8rkQdzp1yNkFsC6WdOfqz0K7RA2epBiFt3MQyhTAuBGPg6CYLdz8vysZI07yXCJU3H8mLzRq4RJswgU4-QlYqHRaD6xTOavCukMdVsHqk8p9ljVO75wv_YTBq_oB22dTC8mmYfKgzPG117xMWfHgexv-Pq8U2ADdexsM9u960OpwrgSF67-WuyChyE2ZWMfsZ8JQIVKXjxwtYW7vEqfuN1OMSPUf8-puKU4K7zzOM0OWEAA3StVPuzBYsnKQg3Ftd7x88FUT_aSvDE5j4ce1CJoO-2Vvpr6IxBCC5aUXO-_lLeI9lplHDL3jpg69i4Xm-GbvvzaTPe1odD624X7N0A==&xkcb=SoCB-_M3b6iXt9Re3h0IbzkdCdPP&p=3&fvj=0&vjs=3
Wine Advisor,Save-On-Foods,"Penticton, BC",Posted23 days ago,2022-08-06,"Providing demonstrations on various wine products to engage customers.
Providing customers with information about various specially selected wines and making…",$16.20 an hour,Retail & Wholesale,ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A_EXSXQZ876MkP2AO_t1POXQWZkg1SyJbvZPvl8rPDmmE8wOWmmJTQLxPXb-jQAOVJG4zKvkWGC-U9UuXXOxoToendoBQ7tV7FPl_-hcAFLhPS-3DgYRNXoBlktJFdVc8mNrOVvhgCpe27RkyaMYjROEcaYtldZlCXu1B2svEsjBSIBRST-vbAgkTkKAgf83yRdFPtzJhBAwqMotEJ2Q0iNFMLCUKHdSsfMgU5ZzLAG093rd3bjhErwCtLstl_KuoXH_Z42RYeOxq2N9R9b_EqPNbpSa_Z8w0brS1CF8IgJXWBKcQTBooK0lia_hbQMyHTfCNMWYo46d7VdhJJXY36Ci1N9bGnRGQMR5wp5Ybd4ts4BPNNM5KwoM4xtD3iqAxTRuMmk5um-8wXk5cjnaojEIOrqUBI0LWI_12a-CBjuRm4wtssTa333AFHm4m_vFPMzJ9Z6r2AbGgakPI8qXwFtVVVx2Sy19JL1HR91eGgn873D_rDs50YQ8qeu0LDZubx1VGImHPFkg==&xkcb=SoBZ-_M3b6iXt9xe3h0LbzkdCdPP&p=4&fvj=0&vjs=3
General Clerk,Save-On-Foods,"Penticton, BC",Posted30+ days ago,2022-08-06,"An organization that supports local growers, products, community groups, and the environment.
Operating a cash register and bagging groceries.",$16.20 an hour,Retail & Wholesale,ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A_EXSXQZ876MkP2AO_t1POXQWZkg1SyJbvZPvl8rPDmmE8wOWmmJTQLxPXb-jQAOXWWaMHyKcceZXgG0KAEIyV5Ah5UlG6EKh2XBb27QjVSEIhmulmt0Q3QIB05Du-4U8lQ192Yoy_VqaxMXt8lfzGg_CavxjZhc_GqxQVoWMADroG5IK-3N26y2g3jrR9RA2GfYoMAO3Gs5iXRvQrwKBOh2cbRr1yZ_a_t9f3wNdkw9cpw57HqLUmazFakV3bBHB2W_RxjXVPX6_gwj0gBCbbK70_qYe-V-O4xFW3lH3hCeKGeApEeczb3Pn2RAeeBlEEpxEc_sTBNwxRzXPjXjrVHl46RX0Z_Qm9qW1JFHPiHiPlbvj3CObNx4eWo9BWLLfSB6hSbYgsyR0AbUWkMnYEeuTGEAnfdacy3jNzLMw8IHuP_naA301Knce5fD0YWf1MjoUezBmZDnzZ2PQGy7KkP4b6sfXZfVrKZsttewiJbp1ltABzDvXxOtqmqQNeIn0Ear4Tfv6Mdg==&xkcb=SoDt-_M3b6iXt9xe3h0KbzkdCdPP&p=5&fvj=0&vjs=3
Full-Time Crew Member,McDonald's,"Penticton, BC+2 locations",Posted19 days ago,2022-08-06,"Greeting guests, taking orders and processing payments.
Managing delivery and mobile orders.
Assembling orders and packaging take-out and delivery.",Full-time,Retail & Wholesale,ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CKuWLIyBcSaZHTBsX19-XRUig2UUNhaqTkNIsV4DSj42njcRAiEJr9rDGCKaRcJHneUqQ8uQk44ixor3onirDH8c7cppniW-0Wm7p12y87atiz8gViLWxVsqm1W0kI8qlzIgtEZWDafQdNEMtXUZjaDVITsL_AT4UANsBoS0tqW3iq5L2woZMk3pV1FF-S9kvd97YmegxkuTJz1vUFF0Ckp3OXkC4Ot-easqO96KXeP2oAb5kdKEiVbw5AtmcbSK2b7dcUoNfJizQZkB0SOwBoV24aZgCcHyteLxM88Cxz4JjKAqoyzTvwX2VPxT8zGQINaWBqAJQ9IgxFsSRKmopPETo0CaSj9NWIjIjdAYGzcI1hitAKkjjoTFwEFNvhQnEiPNEPmD2kY8Q-pHQ3W0l1NGWbA4CysAhFYQwx-TU5vpLG295yrpLelNPOspRnDi79HqRSQXy3Vn6ICvYX8_UR_WEzBz8rKNAGvyaEcUoGJ8-KU_QwhDkzSv6XFLK_xqIMyfjMRxnDRPm1_TIrBuSl&xkcb=SoBw-_M3b6iXt9xe3h0JbzkdCdPP&p=6&fvj=0&vjs=3
Customer Service Representative,Cloverdale Paint Inc,"Penticton, BC",Posted3 days ago,2022-08-06,"Determining and recommending products to customers ensuring the customer is supplied with all items required for their project.
Job Types: Full-time, Permanent.",Full-time,Retail & Wholesale,ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B_98hYTtp1LvExIHqHQ2aGcahNwumgdIEZm340ZJthfxSqtjsAdut9zfnU_h3KGVGWsB-AbTsbLY1iojWFQWZVeVAyFBfKjdwqb3hf_VyGyC9dvNw20zKbNMKhJPVm-xX1bLNnqlvhxkUdTtT8mt6M4L-dFpaLqmPe1i_FISJBzt57Rp2INYMeV-i2xX6WFrY8TUP8XTKCxLcg82nYPmj-GOCGXJRTneIPb9HQqYCYrLj-uLwBeL3znk-sJ58LC3QwMtLvhtDxPSvNd7Grszwa0oTIsRYIPlPfGMzjIllOXU8D6bS2QQYw_IkDNxicHTG6c46E02txPbedVvjcDLpoN7hcelngx_T0j22K47WX0TncIBygl1V0SZjsSIz_0Zm7DLl2YDgPbdh0fG5o_KNi7gozfqK2wY7V1u-RFXYRZGo6FZYiWyk6laMcwSIE94RnRGH4R9p85nwbknOwtrynPvo9BKQeKSOdVDhY_CJiFg==&xkcb=SoDE-_M3b6iXt9xe3h0IbzkdCdPP&p=7&fvj=1&vjs=3
Tire and Lube Technician,Jiffy Lube,"Penticton, BC",EmployerActive 19 days ago,2022-08-06,"No license required, and full training provided to become a Jiffy Lube service technician adviser.
This role is full time or part time, with flexible hours.",$16–$22 an hour,Retail & Wholesale,ca.indeed.com/company/Jiffy-Lube/jobs/Tire-Lube-Technician-2b8622a7a4e640d8?fccid=30f7a2519a1995b0&vjs=3
"Calling all Sales Associates, Photographers and Assistants!!",Photos Unlimited,"Penticton, BC",EmployerActive 27 days ago,2022-08-06,"Job Types: Full-time, Part-time, Permanent.
Retail sales: 1 year (preferred).",$17–$21 an hour,Retail & Wholesale,ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CUfFzw53SFpfTIeseVFpCTxtbF2v4DEYMn5HKNETtZM_VhKPHPMA4_f_81bO_jfcyeESB1FgBB1F0U-c2rKwuPub7sXG5HFjCLYOYhu7OUrVzooJsX_DRFYrliLrH4feA4bvjAj7hOxseYoblnjezxAsO-cZV-qyg0Q6bwqwKPg5VNQ9iVXpCLB7pzqKczsIkb01MdPOfQrbUieUoRYvc755iKS5vygbpTyIlypfJZEJte24xP-Uzcj47QE-mlzT745BdcRS4XZ7fmuC9HzVfKamlNMHaLCETcwuGtvw37ikBvcDzvIbDiTaJVkTqhtCVPBVOJBNYBAR8_BWa9zxwiAzu9UNWIYCSKXfnYrYkaaHRa1UOT9n_4heUOpzNCubl4XUj-h6xatO0Zdaf1JBE6QhuATZ-XNjKtBMH2mcexT3fmxsMU-WJejpmNgUxC6qKgZ34re53Nt4pxCmCYW27Q6YV37D1qdfc6ZM5sdza9v9DPvFn71AaIv2OQbKd85vot9252i2a_ZQ==&xkcb=SoDX-_M3b6iXt8Re3h0LbzkdCdPP&p=9&fvj=1&vjs=3
Mixer Driver,BURNCO Rock Products,"Penticton, BC",Posted17 days ago,2022-08-06,"Class 1 or 3 CDL (w/ air brake endorsement).
IMPORTANT: As a safety sensitive position, it is a condition of employment that selected candidate successfully…",$28 an hour,Retail & Wholesale,ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CUuctwoH4ZoVTufQ4FjWYSf4fjTODw2n97Uk7-xHxaq8oDHT8EoKVvW_p7n89_cNZ7mjT20svQo5D8u6MeWDmngdBXK5OmBUogHPKDovskFPLDyS71GN6A8CJoYkTrCblDNIQkr_aOq7gj9FEOuADbLmmWO2tk7T2jfj6WgzoiJQBgGTgj0MYOQXpUC1Q2NWBI7CG7IWwskFVIzex07d9bZhQ0aXz3idW5GrwIN441bWy_kiBBztyEWTR-d15tIRCVDQl3Z2O4GwfEcRX_4cgpLG5JvMmIgKN-XB4c6mVU-TWYmDpOxPVi9N2T_gkVqcgBja5fy_fF-4C3KizwqNgpLAQS44hMn-UXKToPPSrUAKsfDFaPdE2Qaolvq9qJB_nYth48NobZdcPa0o5vinYtdrXWecuz3z37t5D1UsYZimabL92UXhZ21AgOKS7CGJU=&xkcb=SoBj-_M3b6iXt8Re3h0KbzkdCdPP&p=10&fvj=0&vjs=3
Tire Technician,Kal Tire,"Penticton, BC",EmployerActive 16 days ago,2022-08-06,"A benefits program including extended health, dental, long-term disability, employee assistance program, life insurance and RRSP matching program.",From $19 an hour,Retail & Wholesale,ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AYkrVl2153ynlL_9uIPvN_u-Jir2ueHddCWIxmEWpCZ_w5e5kJveVM7zT6uHVOjyi852OCgsbsZD7m6Rswat314swk3BNre6Q-biw0iHCBUXUQSsVVnk-vlmBoUD3U_PX5voHEEYpdojGpAXOzjaiFdHrlj2vU8TOEVRADfi6d97nSbvI15ZtfEZb-NKDZW0ga2clXZDpP26lIkwtJWpP5nQiuP3yF8kfg_FDoQaIBN-6CKwzzqcY89_9muGwDBrd_3oGOFNnRS7DN2flYmOG4QyU3cfvwHfvZpPxEOu90SLl7pb6Ej2EPh8qiRhJCiOfJGxMjnA31gCeEMhF5YDBBCD8Deeyry4HBX4ZKPA11utegANTCfBNSQbkA52DHetcpsbKPATZ4kd8CL8bGnyv-qpW4Ci1ORJTWSRVDmWgc-7S_zeLR8sqK2fdwYh6oR-ceqm94ecUHnRSeHQazN9yvt3Im1CilesM=&xkcb=SoD--_M3b6iXt8Re3h0JbzkdCdPP&p=11&fvj=1&vjs=3
Budtenders Non-Medical Cannabis Retail Store - Penticton & Summerland,A Little Bud,"Penticton, BC",EmployerActive 17 days ago,2022-08-06,"Must have excellent customer service and reliable transportation for both locations.
Benefits after 90 days for those working 20+ hours per week.",From $18 an hour,Retail & Wholesale,ca.indeed.com/company/A-Little-Bud/jobs/Budtender-Non-Medical-Cannabis-Retail-Store-2173754b9a9341ae?fccid=70419d1949852a04&vjs=3
Starbucks Coffee Bar Server -Reg. PTU,Safeway,"Penticton, BC",Posted4 days ago,2022-08-06,"Process cash register payments by cash, cheque, credit card, gift card and debit.
Greets customers in a polite and friendly manner.",Part-time,Retail & Wholesale,ca.indeed.com/rc/clk?jk=f3c919c082bb386a&fccid=649c9a9218dc0540&vjs=3
Budtender - Non-Medical Cannabis Retail Stores - Penticton & Summerland,A Little Bud,"Penticton, BC",EmployerActive 17 days ago,2022-08-06,"Must have excellent customer service and reliable transportation for both locations.
Benefits after 90 days for those working 20+ hours per week.",From $18 an hour,Retail & Wholesale,ca.indeed.com/company/A-Little-Bud/jobs/Budtender-fa2e8f66bccc6e44?fccid=70419d1949852a04&vjs=3
Budtenders Non-Medical Cannabis Retail Store - Penticton & Summerland,A Little Bud,"Penticton, BC",EmployerActive 17 days ago,2022-08-06,"Must have excellent customer service and reliable transportation for both locations.
Benefits after 90 days for those working 20+ hours per week.",From $18 an hour,Retail & Wholesale,ca.indeed.com/company/A-Little-Bud/jobs/Budtender-Non-Medical-Cannabis-Retail-Store-2173754b9a9341ae?fccid=70419d1949852a04&vjs=3
Front End Trainee,Loblaw Companies Limited,"Penticton, BC",PostedPosted 30+ days ago,2022-08-06,"As a colleague in one of our stores, you will have an immediate impact on sales and customer satisfaction by:
Executing company-directed promotions and programs…",Part-time,Retail & Wholesale,ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C5VBEfUGqMyB9yGq6fzxQHKsgXpRdUcTZd70V7yFRQPMIgww4Gem68mXnoBbV8H_97QgyQlWY2-jdxTXtMs7f5qcz50o3Q7Kq5BCreKhG-bkcID2wLMP8H4U1vKO0COwl_1-Y6Verq0k-dnB421IdmjQukZf7BbEKw_DCodWwyiM0vdM9Yjw1JMHhK2kVxT1L2WHfWD5BbIYo1hGSOB5xT7zeGGI9h6a_AA3Bssahk-dpBdW90x-3N50gPDoEN6_6NFDmOcS_34h6W_o9jCajHB6CF2ARVx194cDxmD34l-LRtNBuCYSyHnfkKH8jUZLfbVOD4ffekKQCspL6Nbru2jPNj-KzAntijT23pLdCTkPE5u7AUNnQfRk11VPIsisy1G3CfiBuwCft6DTQmRfSoMRYVWkwpsb8D2X8uWDzSs3eovTajo15avbfV4xRZaLsn6ugiB1IekhoW-C2QAEFzmcqbnwyVNAszrLnE9joF-LUdUpqGsxeRbvjcy4ot4kvAeEspwlYNcCUHrAIRVfj2ltnzW_GFEznFcJrX7irsDRkhezgT5pVkzRK03r6iAf9eIMy-YUDe2V2sDjw7lPPR8XZEe3WFkiLoL9PMzyIO3FNgvOwEzTTnQeU24QVnIdQJjAj0z-zST-_icgebc_62VevgbRGFBfzWwl2nAaVTCcEHbDIxWe4O9XiSGq1FLxKsWCh4V6aQwL0m8LmtsZAE8BdXMEpmxVt-qcxajBA8KQy95tVykIpc-2foLJINsEEdmhNkVPoEeA==&xkcb=SoAj-_M3b6iXVWTWtZ0IbzkdCdPP&p=1&fvj=0&vjs=3
Assistant Store Manager,Dollarama L.P.,"Summerland, BC",EmployerActive 19 days ago,2022-08-06,"Tailor-made training program and integration process; and.
The Assistant Store Manager provides support to the Store Manager in overseeing the daily retail…",Full-time,Retail & Wholesale,ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B9nw0IMIeL5kumNJ7V6pqSmBHXJLzIzJcQy5ZQepvnhoh5nogz2O0m6Bcg5CXJo39DM0DFj-5ppqNMwbrKXKsZ5m_ukPJtV5ISNk6UQOkcQiZoe5iG7_Q_T-lQPGvAXK8RHg4O-Opisnq4J-TMb5GhM8ovlXbRbGM7-AS-wJ13KCfOenJR_I-hvjoEYheOSeCAk1x-Xgq8F43B5_ta3HYMdkqBAqSktmFJR1yQZlpfVtqfPkcu-RlYLSE04IOy_UwcV7txBTH1VDLI27o5XBU8anfpLUo02ESMFJIhAQNKtfHVN8_HJb-e1PR0Y5aY6P196cryn7crjujKujThInXig0nr7224Rqn8nDHzNRRJMv1IRpV4FN4v-p0zpA2OjsWoaimJlHgEEi-Usd4heUtzN3mpHDTet3EA4F43FNKvUYFNLh_r5m6JwFb8goW2rCzGEoYzHzWYIG_cyeFV8F-ZIMW5dJO7dxLbOaLPys_iCA==&xkcb=SoD7-_M3b6iXVWzWtZ0LbzkdCdPP&p=2&fvj=1&vjs=3
Budtender - Non-Medical Cannabis Retail Stores - Penticton & Summerland,A Little Bud,"Penticton, BC",EmployerActive 17 days ago,2022-08-06,"Must have excellent customer service and reliable transportation for both locations.
Benefits after 90 days for those working 20+ hours per week.",From $18 an hour,Retail & Wholesale,ca.indeed.com/company/A-Little-Bud/jobs/Budtender-fa2e8f66bccc6e44?fccid=70419d1949852a04&vjs=3
Starbucks Coffee Bar Server -Reg. PTU,Safeway,"Penticton, BC",PostedPosted 4 days ago,2022-08-06,"Process cash register payments by cash, cheque, credit card, gift card and debit.
Greets customers in a polite and friendly manner.",Part-time,Retail & Wholesale,ca.indeed.com/rc/clk?jk=f3c919c082bb386a&fccid=649c9a9218dc0540&vjs=3
Sales Associate - Penticton,Canadian Tire,"Penticton, BC",PostedPosted 2 days ago,2022-08-06,"Meet, greet and thank customers and provide friendly, informed service to them.
The Sales Associate team member works in a fast-paced environment that involves…",Part-time +1,Retail & Wholesale,ca.indeed.com/rc/clk?jk=448c109d8e2de53f&fccid=2e16043297423070&vjs=3
Pharmacy Intern,Save-On-Foods,British Columbia,PostedPosted 30+ days ago,2022-08-06,"Maintaining high standards of patient care means we’re always improving on our best practices, enhancing our professional development, and implementing…",Part-time +1,Retail & Wholesale,ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A_EXSXQZ876MkP2AO_t1POXQWZkg1SyJbvZPvl8rPDmmE8wOWmmJTQLxPXb-jQAOUnQd-KTpEbaYmwykjOIm4es-IOaSxjy70HUayuJVNjfqUtWt-ir1VqlMgsjKEP0U8_XkcKTGhCPKSBajoYuijucx-o2BP2if3o2dPBhRVjFy8kMfOXV4U5nasBz0okwkJMy1DTA-qEbCrSyE6U84lHdN0tfChlaNBssUxPRf3l-MY7qvprMP5dGHZXwuuIRdYYJIIJsEETs4x7BGRfNLImn7rmkcu-_RahLkqYJW_O8S39c_MUz1jN3V8jPW_64lV7DFAsWvLxehhzTLmshj7TrmwS7p5QfSVYRXPAWs4JE9aMta87AjB0k86sL_hwQWEbjCOzUH3jQe_QvqFB2Bc7EJh_UfyYQDDKOlP5ebC2CfeSSw9jn9WzDftCYmaO6r3xNIiQRECwumnIvm7e27wtCj0ROo2eALOKI257vXXY3eYavGnnS8X8ky2tlUTtn6O4nHz8USiq_Q==&xkcb=SoDo-_M3b6iXVWzWtZ0PbzkdCdPP&p=6&fvj=0&vjs=3
Tire Technician - Seasonal (Training Provided),Kal Tire,"Penticton, BC",PostedToday,2022-08-06,We’re hiring seasonal part-time and full-time tire technicians with flexibility to suit you and competitive wages.,Part-time +1,Retail & Wholesale,ca.indeed.com/rc/clk?jk=d4655927af71d01e&fccid=c288d8a94e53b663&vjs=3
Grocery/Service Clerk II -Reg. PTU,Safeway,"Penticton, BC",PostedPosted 4 days ago,2022-08-06,"Greets customers in a polite and friendly manner.
We appreciate the interest from the Staffing industry however respectfully request no calls or unsolicited…",Part-time,Retail & Wholesale,ca.indeed.com/rc/clk?jk=34f7e30a40ede231&fccid=649c9a9218dc0540&vjs=3
Fill Crew Associate - Penticton,Canadian Tire,"Penticton, BC",PostedPosted 2 days ago,2022-08-06,"Stocks shelves and merchandise display areas neatly with correct merchandise.
Keeps up to date with in-store promotions, in-store deals and product locations.",Part-time +1,Retail & Wholesale,ca.indeed.com/rc/clk?jk=c2fcaedc63c5c3cf&fccid=2e16043297423070&vjs=3
Courtesy Clerk,Loblaw Companies Limited,"Penticton, BC",PostedPosted 30+ days ago,2022-08-06,"As a colleague in one of our stores, you will have an immediate impact on sales and customer satisfaction by:
Executing company-directed promotions and programs…",Part-time,Retail & Wholesale,ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C5VBEfUGqMyB9yGq6fzxQHKsgXpRdUcTZd70V7yFRQPMIgww4Gem68mXnoBbV8H__ruBBMCawqKoGdB2G3xlp3L3n8cmBPzAqLskNs-OYjZRpIqfMUeJxJPy_TSyc2BbYd_mZl0JTJGC9oTVvo8l0-ADzIo668qhfptmbI9pPWHzFBZJpF75GLlmC8TaowKGkccga7y9FtqDsOybZap2XGR14QrAnwANJKsgIGHQMafZ8nYX9Nk2CrzkwAn_-7I0ig6e5NbF1P7t_zKzHh2vTEQPeBpWk8NVQe-qsIuUIUWhbuZVdIbpCuBvQ0EZmL_18Zt76tn1H4yqnzgjgc2svmtb5spaAvv-qlzU8Lc08pPpmBn9RE5MHkjxvs1KB33kwBqnV-DahcBXt2uSeYJmnrd9lK_YTNL0mVTAaCBW7gpiF_dBDmbWy_iJS7uWuaLOhdZLuFElZxAQL8ZOO0McBuMXc18WyytGXYbBKHGuLlwoIqddUIM6msAa61m1xVtu4KilfqcUSNs4aYP8VA42YI6406qH5i5wF-odxsL4hfDSOFOhLbA28QKrtnzL5APclKIRfBcMZj1KxdEQqyh4odnDRxoSbEHNj2Hfaovcs1fNzr9DPl8gTuS629fepAPrBbAmirQe0h_Y7Z2bIfiS-2Na0rbb0t_LwjUrLRbZsNUyYAK_5SPyGDnYGZUDe7vdHxbH2-RucXpgWKfJfb-qn98EIQp9oOrQtgGtXZs2Mjn_Sr9DQACpbIm8MsR04r9ns=&xkcb=SoDQ-_M3b6iXVRTWtZ0IbzkdCdPP&p=10&fvj=0&vjs=3
Customer Service Associate - Penticton,Canadian Tire,"Penticton, BC",PostedPosted 2 days ago,2022-08-06,"Operates cash register, computer, fax machine, printer and electronic funds terminals, and enters all relevant coding in Canadian Tire systems.",Full-time,Retail & Wholesale,ca.indeed.com/rc/clk?jk=777c5a1aeee44d6b&fccid=2e16043297423070&vjs=3
PHARMACY AIDE,Rexall Pharmacy Group ULC,"Penticton, BC",PostedPosted 28 days ago,2022-08-06,Secondary (high) school graduation certificate.,$16.35–$17.40 an hour,Retail & Wholesale,ca.indeed.com/rc/clk?jk=960a06728dce6b52&fccid=1b1dd7a14cf63907&vjs=3
Deli Clerk MDS Production (Grid B) -Reg. PTU,Safeway,"Penticton, BC",PostedPosted 4 days ago,2022-08-06,We appreciate the interest from the Staffing industry however respectfully request no calls or unsolicited resumes from Agencies.,Part-time,Retail & Wholesale,ca.indeed.com/rc/clk?jk=268e739151b9fe6c&fccid=649c9a9218dc0540&vjs=3
Retail Sales Associate,QE Home /Quilts Etc,"Penticton, BC",EmployerActive 23 days ago,2022-08-06,"We offer: competitive salary, flexible scheduling, comprehensive benefits package for those working over 28 hours, excellent training program, staff discounts…",Part-time,Retail & Wholesale,ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DHDKyepf-FEOUqjSvZt664k1G1sV2DU952p7SIPpHo0EPgow0ym19bF786kZtxOmEZsLXEnnwwKEkPPcetDAbdv3KI_0LSWScGFFNnk8NgSUphSIyxHkmM7atqPd6oV68yWGeApbC77EVILo8KucYUT7D1Ru5qXQcFmpzlg7Ki3ys-pcs3BUEytUW0BHLmALm74a-YNdIYCTwxAkoJuuAf3PWw9oxP07qnWmsHHD1Q_klRos8z1VNT3S7Y1CohyEmrJP4AkLfoLnp_dSMHHkhttCnd_OrCCwqiVkMjSKzUcBwsNGN1TZaMWn1M7Z0zMCGEb5B3_MlIArYHmNlkV6qpQDrW01xJPgqp-7rSo8NyKLKihTPO-ZMtIY_U2kayHEzIWaCu-233eis15Il4JmRQRLYS1T4zwZECKuAqUcZGQW1i3ZbLTCafqVi5uUhnwZwU4ws6HVV54AQPAkBU_nyy&xkcb=SoC8-_M3b6iXVRzWtZ0KbzkdCdPP&p=14&fvj=1&vjs=3
