JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,Industry,JobUrl
"Manager, Clinical Operations",INTERIOR HEALTH AUTHORITY,"Penticton, BC",PostedPosted 11 days ago,2022-08-06,"The Manager, Clinical Operations provides leadership and direction for the operations, management, utilization, risk management, and quality improvement within…",Full-time,Healthcare,ca.indeed.com/rc/clk?jk=1c4b337624cf693a&fccid=819aaf068231c6d3&vjs=3
Medical Transcriptionist,INTERIOR HEALTH AUTHORITY,"Penticton, BC",PostedPosted 30+ days ago,2022-08-06,"Completion of a 5 Minute Typing Test at 60 wpm dated within the past 48 months and must be issued from a valid institution only.
Ability to keyboard at 60 wpm.",,Healthcare,ca.indeed.com/rc/clk?jk=afcd00f92a127820&fccid=819aaf068231c6d3&vjs=3
Mental Health And Substance Use (Mhsu) Substance Use Worker,INTERIOR HEALTH AUTHORITY,"Penticton, BC",PostedPosted 30+ days ago,2022-08-06,"Current valid B.C. driver’s license.
Liaises with alcohol and drug residential treatment, withdrawal management, and supportive recovery resources following…",Full-time,Healthcare,ca.indeed.com/rc/clk?jk=954d9b9b1894aefd&fccid=819aaf068231c6d3&vjs=3
"Administrative Services Assistant – Penticton, B.c.",INTERIOR HEALTH AUTHORITY,"Penticton, BC",PostedPosted 21 days ago,2022-08-06,"In this role you will perform a variety of reception, administrative and Health Unite Aide support duties including data entry, gathering, organizing,…",Temporary,Healthcare,ca.indeed.com/rc/clk?jk=e968c5d13d1191a9&fccid=819aaf068231c6d3&vjs=3
Food Service Worker – Summerland,INTERIOR HEALTH AUTHORITY,"Summerland, BC+1 location",PostedPosted 30+ days ago,2022-08-06,"Clerical duties such as answering the telephone, filing, writing information on menu cards.
Portioning and serving meals and beverages within a dining room and…",Evening shift,Healthcare,ca.indeed.com/rc/clk?jk=27c48078fc58c1aa&fccid=819aaf068231c6d3&vjs=3
Server,Summerland Seniors Village,"Summerland, BC",PostedPosted 18 days ago,2022-08-06,"Attends and participates in community and education programs.
The Server reports to the Support Services Manager and/or designate and performs all aspects of…",$20.97 an hour,Healthcare,ca.indeed.com/rc/clk?jk=6e76e00b04db3f38&fccid=bfd33c1c9e058c81&vjs=3
"General Manager, PRH",EllisDon Corporation,"Penticton, BC",PostedPosted 11 days ago,2022-08-06,"Experienced in the management of projects end to end i.e. scope development, spec development, tendering review and evaluation, managing contractor installation…",Full-time,Healthcare,ca.indeed.com/rc/clk?jk=9b1cf504f72e88c9&fccid=5fec8a638fc3e20a&vjs=3
Personal Trainer/Fitness Instructor/Front Desk,City Centre Health & Fitness,"Penticton, BC",EmployerActive 17 days ago,2022-08-06,"Part-time hours: 20-30 per week.
Personal Training: 1 year (preferred).",$15.65–$30.00 an hour,Healthcare,ca.indeed.com/company/City-Centre-Health-&-Fitness/jobs/Personal-Trainer-Fitness-Instructor-Front-Desk-a17146d33a763268?fccid=ce2a1262935d4236&vjs=3
Dishwasher,Sienna Senior Living,"Penticton, BC",PostedPosted 22 days ago,2022-08-06,"In accordance with provincial regulations, upon request, support will be provided for accommodations throughout the recruitment, selection, and assessment…",$15.65 an hour,Healthcare,ca.indeed.com/rc/clk?jk=ee3643c760f5e673&fccid=7b61a73576f746ae&vjs=3
Pharmacy Assistant,INTERIOR HEALTH AUTHORITY,"Penticton, BC",PostedPosted 30+ days ago,2022-08-06,"Attends to the dispensary counter, providing general information and direction, issuing completed medication orders (excluding outpatient orders such as…",,Healthcare,ca.indeed.com/rc/clk?jk=19e6c1ce89678229&fccid=819aaf068231c6d3&vjs=3
Health Care Aide - PEN 11-067,The Good Samaritan Society,"Penticton, BC",PostedPosted 1 day ago,2022-08-06,Provides quality service according to the care plan and the GSS/GSC Standards of Care including development and updating of care guides/plans.,$25.83 an hour,Healthcare,ca.indeed.com/rc/clk?jk=03ab5a76bac89157&fccid=22219478997493c0&vjs=3
Food Service Aide,The Good Samaritan Society,"Penticton, BC",PostedPosted 30+ days ago,2022-08-06,"Full immunization status is achieved when 14 days have passed after the second dose of a two-dose vaccine, or the first dose of a single-dose vaccine.",$20.97 an hour,Healthcare,ca.indeed.com/rc/clk?jk=b492f2db830054df&fccid=22219478997493c0&vjs=3
